;;;;;exact place in the cave not specified;;;;;;cave entrance (ulaz);;;;;;deep cave;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;ŠPILJA U RADINOVCIMA;Dedi?i, Rastovac;25.10.2006.;;;;;;;;;;;;;;;;;;;;8,3;8,0;;;100;ispod vertikale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Špilja u Radinovcima;Dedi?i, Rastovac, Biokovo;15.5.2016.;;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pelješac kaverna u tunelu Debeli brijeg - Mljet 11.2-15.2.2021_;Špilja u Solinama;Soline, Mljet;14.2.2021.;;;;;;;;;;;;;;;;;;;;6,1;;;6,2;94;Lijeva dvorana iznad skoka do vode;6,4;;10,7;6,6;73,4;Kod sifona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;ŠPILJA U SOLINAMA;Soline, Mljet;8.1.2008.;;10,3;;10,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Špilja u solinama;Soline, Mljet;8.1.2008.;;10,3;;10,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Špilja u uvali Predpe?;uvala Predpe?, Kostrena, Rijeka;9.7.2007.;;11,1;10,6;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Špilja u uvali predpe?;Kostrena, Rijeka;6.4.2008.;;9,3-10,2;9,3;;;98,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Špilja u uvali Predpe?;Paveki, Kostrena, Rijeka;27.4.2009.;;;;;;;;;;;;;;10,3;9,9;;10,9;100;zadnja dvorana;10,2;9,7;;;100;prva dorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Špilja u uvali Predpe?;Paveki, Kostrena, Rijeka;16.10.2009.;;10,9;10,3;10,1;12,3;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Špilja u uvali Predpe?;Paveki, Kostrena, Rijeka;23.1.2011.;;;;;;;;3,7;5,0;;5,9;92,5;ulazna dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kornati;Špilja u uvali Strižnja;Špilja u uvali Strižnja;16.4.2018.;;14,7;13,9;;;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Špilja u uvali Svežanj;Kostrena, Rijeka;6.4.2008.;;10,3-10,5;10,8;;;99,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Špilja u uvali Svežanj;Kostrena, Rijeka;15.10.2009.;;;;12,3;;;measured with water probes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Špilja u uvali Svežanj;Kostrena, Rijeka;23.1.2011.;;7,8;;9,8;8,3;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Dubrovnik 2.-6.2014._final;Špilja u Žarm;Žarma, Vardišta, Janjina, Pelješac;2.6.2014.;;13,7;;;;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_terena_Atlas3_jug_jesen_2016_polufinalno;Špilja u Žarmi;Žarma, Janjina, Pelješac;3.11.2016.;;;;;;;;;;;;;;15,2;12,5;;;87,3 ;kraj špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Špilja u Žarmi;Žarma, Vardišta, Janjina;28.4.2019.;;;;;;;;10,7;;;;;ulazna dvorana;10,9;;;;;dno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena Paklenica 2021_8 mjesec_final2;Špilja u zubu Buljme;Buljma, Južni Velebit;24.8.2021.;;;;;;;;;;;;;;;;;;;;5,4;;;;;dvorana na kraju di su na?eni Troglophiphantesi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;ŠPILJA UVIRALJKA;PAPUK;6.11.2004.;;;;;;;;;;;;;;;;;;;;7,6;;;7,5;; u Kanalu Sv. Janka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;ŠPILJA UVIRALJKA;;23.4.2006.;;;;;;;;;;;;;;6,3;;6,5;;;kraj;6,5;;;;;ispod vertikale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;Špilja Uviraljka;Papuk, Velika, Papuk;21.9.2010.;;7,1;7,1;;7,5;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja_dnevnik terena_01.05.-07.05.2010;Špilja uz branu;Bogunovi?i, Zrmanja Vrelo, Gra?ac, Zrmanja;1.5.2010.;;13,1;;9,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja_dnevnik terena_01.05.-07.05.2010;Špilja uz cestu;Kravja draga, Pa?ene, Knin, Južni Velebit;1.5.2010.;;12,6;;12,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Izvještaj Dinara.0;Špilja uz put za Vrdovo;Troglav, Dinara;28.7.2012.;;;;;;;;7,2°;;;;;;5,7;;;;;(krajnja to?ka špilje);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK PAKLENICA 2008;ŠPILJA VAGANKA / VAGANA?KA PE?INA;VELIKI VAGANAC;27.9.2008.;;11,9;;;;99,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena_19.02.-21.02.2010_Leptomeson 1;Špilja Vranja?a;Kotlenice, Dugopolje;20.2.2010.;;;;;;;;;;;;;;;;;;;;10, 9;;10, 6;;94, 6;velika donja dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja-dnevnik terena_27.9.-3.10.2010;Špilja Vratolomka;Vratolom, Ogari, kanjon Zrmanje, Obrovac;2.10.2010.;;16,7;14,8;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Leptodirus i A3 - 3.-4.10.2015._FIN;Špilja Vrelo;Fužine, G. kotar;3.10.2015.;;;;;;;;;;;;;;8,1;;;;96,5 ;Kraj špilja;7,9;;;;96;desni kanal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena_29.11.-5.12.2009._Leptomeson&Anthroherpon;Špilja za Groma?kom vlakom;Groma?a, Dubrovnik;3.12.2009.;;12, 1;;11, 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Špilja za Groma?kom vlakom;Groma?a, Dubrovnik;27.4.2010.;;;;;;;;10,9;10,8;10,8;11,0;100;ulazna dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Špilja za Groma?kom vlakom;;2.11.2003.;;;;;;;;;;;;;;;;;;;;13;12,1;;;99;Zamka kod zadnjih vertikala;13;11,7;;;100;Zamka ispod stopa;12,8;11,4;;;98;Zamka kod stopa;12,6;11,7;;;99;Zamka kod fontane;13,4;12,1;;;97;Zamke kod jezera;13,5;12;;;98;Zamka iznad jezera;14,2;12,3;;;100;Ulazna dvorana iznad saljeva;14,2;12,8;;;100;Ulazna dvorana-centar;13,7;12,7;;;100;Ulazna dvorana kod kanal s keramikom;;;;;;
1Dnevnik istrazivanja Dubrovnik 08_2014_fin;"Špilja za Groma?kom vlakom (2172m; -218m)";;28.8.2014.;;;;;;;;14,4;14,0;12,6;;100;Ulaz kod stijena;;;;;;;12,8;12,2;;;98;Jezero;11,8;11,6;;;100;Kod stopa bosonogih;13,2;11,7;11,5;;100;Lopo?i;13,3;11,9;;;100;Kraj bo?nog kanala kod lopo?a:;14,8;15,5;11,9;;100;Zavoj iznad stepenica;13,8;12,1?;12,1;;100;Dno saljeva;12,1;13,6;;;100;Vrh saljeva;13,3;12,6?;12,6;;100;Sredina ulazne dvorane;12,;;;;99,9;Ispod zadnje vertikale, dno prema“sifonu/12:30h;12,3;;;;99,2;Na ulazu u vertikale/ 13:20h
2020_09_Dnevnik terena jug2_evodark_final;Spuz ONCL;Bregovi, Spuž, CG;10.9.2020.;;;;17,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik Krka 12 2012, sh;Stara jametina;Gornji Krni?i, Konjevrate, Drniš;15.12.2012;;;;;;;;;;;;;;13,4;;13,3;12,9;91,7;"na kraju i dnu, Kestrel ne radi dobro
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zadarsko zalede;Stara Jametina;;13.7.2024.;;;;;;;;;;;;;;;;;;;;13;;13;13,6;90,2;donji dio, kod kaskada:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;STONJSKA PE? DONJA (Špilja R 06-03);Župa;27.10.2003.;;8,9;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;STONJSKA PE? GORNJA (Špilja R 07-03);Župa;27.10.2003.;;12,5;11,4;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Mosor-Biokovo_dnevnik terena A2_27.04.-01.05.2012;STONJSKA ŠPILJA DONJA;Župa, Biokovo;1.5.2012.;;8,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_Strasna_pec_2011;Strašna pe?;u. Kamiškarta, Luka, Dugi otok;29.7.2011.;;;;;11,8;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zadarsko zalede;Stražbenca;;13.7.2024.;;;;;;;;;;;;;;15,4;15,3;;16,2;92;kraj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik Krka 12 mj 2014_fin;Stražbenica;Danilo, Vrpolje, Šibenik;14.12.2014.;;14,7;14,5;;14,9;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;Suhodolka jama;Suhodol, Jankovac, Papuk;5.6.2007.;;8,4;8;;;;polica;;;;;;;8,1;;;;;dno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;Suhodolka jama;Suhodol, Jankovac, Papuk;6.6.2007.;;;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;Suhodolka jama;Suhodol, Jankovac, Papuk;24.10.2008.;;;;;;;;;;;;;;9;8,1;8,4;;100;Dno jame;8,8;9,6;;;100;Kod miniranja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;Suhodolka jama;Suhodol, Jankovac, Papuk;26.10.2008.;;;;8,4-8,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Sumpora?a špilja mala;x=4725437 y=6507759 z=12;29.3.2008.;;16,4;16,0;17,1;15,8;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Sumpora?a špilja velika;x=4725437 y=6507759 z=12;29.3.2008.;;16,1;16,5;17,8;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Sumpora?e;;3.4.2007.;;;;16,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Sumpora?e (Velika- desna i Mala-lijeva);;3.4.2007.;;;;16,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zadarsko zalede;Šuplja?a;Gornji ?abri?i, Obrovac;28.8.2024.;;10,3;;;10;88,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Šutina jama II;Šute, Rastovac, Zagvozd, Biokovo;2.9.2014.;;3,9;;;4,7;99,4;climabee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena BiH-CG 04-12.11.2015_final.docx;Suvaja;Lušci Palanka, Sanski Most, BiH;12.11.2015.;;7,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;SVETICA ŠPILJA;Dubci, Biokovo;25.10.2003.;;14,8;;;;94,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;SVETICA ŠPILJA;Dubci, Biokovo;22.5.2004.;;;;;;;;14,7;;;;90,0;Ulazna dvorana;;;;;;;14,2;;;;90,0;Zadnja dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;SVETICA ŠPILJA;Dubci, Biokovo;16.11.2005.;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Korcula_dnevnik terena_30.9.-2.10.2007;Tabaina špilja (Mala špilja);Vela luka, o. Kor?ula;1.10.2007.;;17,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Dubrovnik 2.-6.2014._final;Tamara;Mateja, Cipi, Martina;3.6.2014.;;18,8;;;18,6;96,9  ;;;;;;;;;;;;;;17,1;;;;;kod jezera na sredini;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Tanki Ratac;Supetar, Bra?;29.6.2017.;;16,6;15,8;;16,3;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Tanki Ratac špilja;Supetar;6.1.2009;;6;;;7,8;86,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pelješac kaverna u tunelu Debeli brijeg - Mljet 11.2-15.2.2021_;Tihinja;Hodilje, Ston, Pelješac;12.2.2021.;;9,8;9,6;14,7;9,8;83,1;Termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Tihinja špilja;Kulina, Luka, Ston;10.11.2020.;;13,8;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HBSD neprojektni dnevnici 2020-2023;Tikina jama;Podrgad, Slovenija;17.6.2023.;;;;;;;;;;;;;;;;;;;;6,6;;6,5;;;zadnja dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;TITOVA ŠPILJA;Podšpilje;5.10.2005.;;17,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Tomasova spilja;Duba Pelješka;5.4.2019.;;10;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Tomasova spilja;Duba Pelješka, Trpanj;21.4.2019.;;;;;;;;;;;;;;;;;;;;11,6;10,4;;;83;Druga dvorana;13,6;;;;77;Prva dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Tomasova spilja;Duba Pelješka, Trpanj;12.11.2020.;;13,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023_09_Dnevnik terena Marifugia;Tomina jama;Krvavac, Kula Norinska;14.9.2023.;;;;18,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Ton?akova jama, Hum?ine;Rožmani?i, Kostrena, Rijeka;16.10.2009.;;13,1;;;14,2;98,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik Krka 12 mj 2014_fin;Topla pe?;kanjon ?ikole, Klju?, Drniš;17.12.2014.;;16,8;16,4;;16,8;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Topli izvor u Malom Zatonu;X= 4728,631 Y= 6503,951 Z= 2 m;3.4.2007.;;;;16,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Topli izvor u Zatonu Malom;Zaton Mali, Dubrovnik;29.3.2008.;;16,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1dnevnik Ucka 2006_BIUS_final;Topolska pe?;vrh Topol, U?ka;26.7.2006.;;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_Tounj_04.2011_fin;Tounj?ica;Tounj, Ogulin;3.4.2011.;;;;;;;;;;;;;;;;;;;;14;;;;96,7;mjereno u dvorani gdje su šišmiši;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_Tounj_04.2011_fin;Tounj?ica;Tounj, Ogulin;10.4.2011.;;;;;;;;;;;;;;;;;;;;;;;9,6;100;Sifon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;TOVETOVA JAMA;Tovetovo, Podhumlje;4.10.2005.;;13,5-13,9;13,3;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena Paklenica 2021_8 mjesec_final2;Tre?a sre?a;Njivarska glava, Marasovi?i, južni Velebit;23.8.2021.;;;;;;;;;;;;;;;;;;;;12,4;;;;100;Parametri pri dnu:;13;;;;;Parametri na 1. polici:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik Krka 12 mj 2014_fin;Triši?a jama;Lali?i, Kistanje;13.12.2014.;;;;;;;;;;;;;;;;;;;;9,4;9,5;;;97,7;1 POSTAJA: – odmah ispod vertikale Stanište: kamenje s listincem;9,8;10,0;;;98,2;"2. POSTAJA – pri dnu sipara Stanište: kamenje
";10;10,0;;;93,4;"3. POSTAJA – na ravnom dijelu pri dnu gdje po?inje glinovito dno Stanište: glinovito tlo plus veliko kamenje
";12,1;;;;98;"5. POSTAJA – nakon provla?enja desno na prvo polici kraj sigaStanište: mokra sigovina plus guano od šišmiša plus glina

";10,6 ;;;;90,1;na dnu jame, glinoviti dio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Izvještaj Dinara.0;Trojama ispod Velike Duvjakuše;Troglav, Dinara;27.7.2012.;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Lika, Mosor, Biokovo_dnevnik terena_11.06.-25.06.2011;Trojama jama;Gornja Poljica, Gornji Dolac, Srijane, Split;16.6.2011.;;9,4;;;;97,3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Trombova jama;Borovci, Metkovi?;22.10.2016.;;13,7;;;14;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Biokovo 10 mj 2014;Tu?epska Vilenja?a;Tu?epi, Biokovo, Makarska;14.10.2014.;;;;;;;;;;;;;;;;;;;;11,2;;;;95;na kraju dvorane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;TU?EPSKA VILENJA?A;Ravna Vlaška, Gornji Tu?epi;23.2.2002.;;;;;;;;12,0;;;;60,0;Ulaz;;;;;;;9,7;;;;99,0;Kraj dvorane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;TU?EPSKA VILENJA?A;Ravna Vlaška, Gornji Tu?epi;23.5.2004.;;;;;;;;;;;;;;;;;;;;10,1;9,7;;;91,0;Zadnji dio dvorane, dno male vertikale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;TU?EPSKA VILENJA?A;Ravna Vlaška, Gornji Tu?epi;28.10.2006.;;;;;;;;;;;;;;;;;;;;10,1;9,7;;;91,0;Zadnji dio dvorane, dno male vertikale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024_09_Biokovo – Hvar Bioblitz dnavmik_30.9.-5.10.2024_;Tu?epska vilenja?a;Biokovo;1.10.2024.;;12,5;;12,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Tu?epska vilenja?a;Tu?epi, Makarska, Biokovo;24.6.2017.;;;;;;;;;;;;;;10,6;10;;;;dno (kod druge zamke);10,4;;10,4;11,5;98,5;rana iznad vertikale;10,6;10,1;;10,7;99,1;druga polica od vrha (kod prve zamke) termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Tunel u crvenim stijenama;crvene stijene iznad Komiže, Komiža, otok Vis;3.7.2017.;;17,8;;;17,5;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK_Ucka_travanj2009_fin;Upad - jamica u Velim Sapcima;Vela Sapca, ?i?arija;26.4.2009.;;7,6;;;;80,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Urinjska špilja;;28.4.2009.;;10,3;10,2;10,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Urinjska špilja;Urinj, Kostrena, Rijeka;15.10.2009.;;10,7;11;11,4;;94,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Kostrena;Urinjska špilja;Urinj, Kostrena, Rijeka;5.6.2010.;;10,9;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
